AdmArea;District;Address
Центральный административный округ;Пресненский район;город Москва, Малая Бронная улица, дом 21/13, строение 1
Центральный административный округ;Пресненский район;город Москва, Малая Бронная улица, дом 22, строение 1
Центральный административный округ;Пресненский район;город Москва, Малая Бронная улица, дом 27/14
Северо-Восточный административный округ;район Ростокино;город Москва, Будайская улица, дом 3
Восточный административный округ;район Соколиная Гора;город Москва, проспект Будённого, дом 1/1
Восточный административный округ;район Соколиная Гора;город Москва, проспект Будённого, дом 24, корпус 1
Южный административный округ;район Бирюлёво Западное;город Москва, Булатниковская улица, дом 5, корпус 4
Юго-Западный административный округ;район Коньково;город Москва, улица Бутлерова, дом 22
Северный административный округ;Савёловский район;город Москва, Бутырская улица, дом 7
Северный административный округ;Савёловский район;город Москва, Бутырская улица, дом 9, корпус 2
Северный административный округ;Савёловский район;город Москва, Бутырская улица, дом 11
Северный административный округ;Савёловский район;город Москва, Бутырская улица, дом 79
Северо-Восточный административный округ;Бутырский район;город Москва, Бутырская улица, дом 84
Северный административный округ;Савёловский район;город Москва, Бутырская улица, дом 89
Северный административный округ;Савёловский район;город Москва, Бутырская улица, дом 89
Юго-Западный административный округ;Гагаринский район;город Москва, улица Вавилова, дом 72/13
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Вавилова, дом 81
Юго-Западный административный округ;Ломоносовский район;город Москва, Нахимовский проспект, владение 75А
Центральный административный округ;район Замоскворечье;город Москва, Валовая улица, дом 2-4/44, строение 1
Центральный административный округ;район Замоскворечье;город Москва, Валовая улица, дом 6
Центральный административный округ;район Замоскворечье;город Москва, Валовая улица, дом 8/18
Центральный административный округ;район Замоскворечье;город Москва, Валовая улица, дом 11/19
Центральный административный округ;Мещанский район;город Москва, Варсонофьевский переулок, дом 6
Южный административный округ;Донской район;город Москва, Варшавское шоссе, дом 2
Южный административный округ;Донской район;город Москва, Варшавское шоссе, дом 7, корпус 1
Южный административный округ;Донской район;город Москва, Варшавское шоссе, дом 29
Южный административный округ;Нагорный район;город Москва, Варшавское шоссе, дом 72, корпус 2
Южный административный округ;Нагорный район;город Москва, Варшавское шоссе, дом 100
Южный административный округ;район Чертаново Южное;город Москва, Варшавское шоссе, дом 143А
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Василевского, дом 3, корпус 1
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Василевского, дом 11, корпус 1
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Василевского, дом 17
Центральный административный округ;Пресненский район;город Москва, Васильевская улица, дом 2, корпус 1
Центральный административный округ;Пресненский район;город Москва, Васильевская улица, дом 4
Южный административный округ;Даниловский район;город Москва, Велозаводская улица, дом 6
Южный административный округ;Даниловский район;город Москва, Велозаводская улица, дом 6
Восточный административный округ;район Соколиная Гора;город Москва, Вельяминовская улица, дом 6
Юго-Западный административный округ;Гагаринский район;город Москва, проспект Вернадского, дом 9/10
Юго-Западный административный округ;Ломоносовский район;город Москва, проспект Вернадского, дом 11/19
Юго-Западный административный округ;Ломоносовский район;город Москва, проспект Вернадского, дом 11/19
Юго-Западный административный округ;Ломоносовский район;город Москва, проспект Вернадского, дом 11/19
Юго-Западный административный округ;Ломоносовский район;город Москва, проспект Вернадского, дом 11/19
Юго-Западный административный округ;Ломоносовский район;город Москва, проспект Вернадского, дом 13
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Кравченко, дом 24/35
Западный административный округ;район Проспект Вернадского;город Москва, проспект Вернадского, дом 37
Западный административный округ;район Тропарёво-Никулино;город Москва, проспект Вернадского, дом 86, строение 1
Западный административный округ;район Тропарёво-Никулино;город Москва, проспект Вернадского, дом 93
Западный административный округ;район Тропарёво-Никулино;город Москва, проспект Вернадского, дом 97, корпус 1
Западный административный округ;район Тропарёво-Никулино;город Москва, проспект Вернадского, дом 97, корпус 1
Западный административный округ;район Тропарёво-Никулино;город Москва, проспект Вернадского, дом 103, корпус 1
Западный административный округ;район Тропарёво-Никулино;город Москва, проспект Вернадского, дом 125
Северный административный округ;район Беговой;город Москва, Верхняя улица, дом 3, корпус 2
Центральный административный округ;Тверской район;город Москва, Весковский переулок, дом 4
Центральный административный округ;район Хамовники;город Москва, Глазовский переулок, дом 5
Северо-Восточный административный округ;Ярославский район;город Москва, улица Вешних Вод, дом 6, корпус 1
Северо-Восточный административный округ;Ярославский район;город Москва, улица Вешних Вод, дом 8, корпус 2
Восточный административный округ;район Вешняки;город Москва, Вешняковская улица, дом 2
Восточный административный округ;район Вешняки;город Москва, Вешняковская улица, дом 2
Северо-Западный административный округ;район Северное Тушино;город Москва, улица Вилиса Лациса, дом 23, корпус 1
Северо-Западный административный округ;район Северное Тушино;город Москва, улица Вилиса Лациса, дом 33, корпус 1
Восточный административный округ;район Перово;город Москва, 1-я Владимирская улица, дом 9
Восточный административный округ;район Перово;город Москва, 1-я Владимирская улица, дом 14
Восточный административный округ;район Перово;город Москва, 1-я Владимирская улица, дом 21
Восточный административный округ;район Перово;город Москва, 1-я Владимирская улица, дом 39/12
Восточный административный округ;район Перово;город Москва, 2-я Владимирская улица, дом 22
Восточный административный округ;район Перово;город Москва, 2-я Владимирская улица, дом 36
Восточный административный округ;район Перово;город Москва, 2-я Владимирская улица, дом 36
Восточный административный округ;район Перово;город Москва, 2-я Владимирская улица, дом 44/10
Восточный административный округ;район Перово;город Москва, 2-я Владимирская улица, дом 52, корпус 2
Восточный административный округ;район Перово;город Москва, 3-я Владимирская улица, дом 6
Восточный административный округ;район Перово;город Москва, 3-я Владимирская улица, дом 27
Восточный административный округ;район Перово;город Москва, 3-я Владимирская улица, дом 29
Юго-Западный административный округ;район Черёмушки;город Москва, улица Архитектора Власова, дом 11, корпус 1
Юго-Западный административный округ;Обручевский район;город Москва, улица Архитектора Власова, дом 47
Юго-Западный административный округ;Обручевский район;город Москва, улица Академика Волгина, дом 6
Юго-Западный административный округ;район Коньково;город Москва, улица Академика Волгина, дом 29, корпус 1
Центральный административный округ;Таганский район;город Москва, Волгоградский проспект, дом 4
Центральный административный округ;Таганский район;город Москва, Волгоградский проспект, дом 15
Центральный административный округ;Таганский район;город Москва, Волгоградский проспект, дом 17, строение 1
Центральный административный округ;Таганский район;город Москва, Волгоградский проспект, дом 17, строение 1
Центральный административный округ;Таганский район;город Москва, Волгоградский проспект, дом 17
Центральный административный округ;Таганский район;город Москва, Волгоградский проспект, дом 17
Юго-Восточный административный округ;район Кузьминки;город Москва, Волгоградский проспект, дом 66, корпус 4
Юго-Восточный административный округ;район Кузьминки;город Москва, Волгоградский проспект, дом 103, корпус 6
Юго-Восточный административный округ;район Кузьминки;город Москва, Волгоградский проспект, дом 157, корпус 4
Юго-Восточный административный округ;район Выхино-Жулебино;город Москва, Ферганская улица, дом 12
Северный административный округ;район Сокол;город Москва, Волоколамское шоссе, дом 3
Северный административный округ;район Сокол;город Москва, Волоколамское шоссе, дом 13
Северный административный округ;район Сокол;город Москва, Волоколамское шоссе, дом 13
Северный административный округ;район Сокол;город Москва, Волоколамское шоссе, дом 15/22
Северный административный округ;район Сокол;город Москва, Волоколамское шоссе, дом 15/22
Северо-Западный административный округ;район Покровское-Стрешнево;город Москва, Волоколамское шоссе, дом 92
Центральный административный округ;район Хамовники;город Москва, улица Волхонка, дом 6
Центральный административный округ;район Хамовники;город Москва, улица Волхонка, дом 7/6
Южный административный округ;район Орехово-Борисово Южное;город Москва, Воронежская улица, дом 26, корпус 4
Центральный административный округ;Таганский район;город Москва, Воронцовская улица, дом 13/14, строение 3
Центральный административный округ;Таганский район;город Москва, Воронцовская улица, дом 36, строение 1
Центральный административный округ;Таганский район;город Москва, Воронцовская улица, дом 48
Центральный административный округ;Таганский район;город Москва, Воронцовская улица, дом 48
Центральный административный округ;Таганский район;город Москва, Воронцовская улица, дом 48
Центральный административный округ;Тверской район;город Москва, Воротниковский переулок, дом 11, строение 1
Центральный административный округ;Пресненский район;город Москва, Кудринская площадь, дом 1
Центральный административный округ;Пресненский район;город Москва, Кудринская площадь, дом 1
Центральный административный округ;Пресненский район;город Москва, Кудринская площадь, дом 1
Центральный административный округ;Пресненский район;город Москва, Кудринская площадь, дом 1
Центральный административный округ;Пресненский район;город Москва, Кудринская площадь, дом 1
Северный административный округ;район Аэропорт;город Москва, улица 8 Марта, дом 15
Северо-Восточный административный округ;район Марьина Роща;город Москва, 2-й Вышеславцев переулок, дом 17
Северо-Восточный административный округ;Алексеевский район;город Москва, улица Бориса Галушкина, дом 5
Северо-Восточный административный округ;Алексеевский район;город Москва, улица Бориса Галушкина, дом 10
Северо-Восточный административный округ;Алексеевский район;город Москва, улица Бориса Галушкина, дом 26
Восточный административный округ;район Сокольники;город Москва, улица Гастелло, дом 37
Восточный административный округ;район Сокольники;город Москва, улица Гастелло, дом 37
Западный административный округ;Можайский район;город Москва, Гвардейская улица, дом 15, корпус 1
Северо-Западный административный округ;район Северное Тушино;город Москва, улица Героев Панфиловцев, дом 1, корпус 1
Северо-Западный административный округ;район Северное Тушино;город Москва, улица Героев Панфиловцев, дом 13, корпус 1
Северо-Западный административный округ;район Северное Тушино;город Москва, улица Героев Панфиловцев, дом 16, корпус 1
Северо-Западный административный округ;район Северное Тушино;город Москва, улица Героев Панфиловцев, дом 51
Центральный административный округ;Пресненский район;город Москва, Большая Никитская улица, дом 24/1, строение 1
Центральный административный округ;Пресненский район;город Москва, Большая Никитская улица, дом 24/1, строение 1
Центральный административный округ;Пресненский район;город Москва, Большая Никитская улица, дом 35
Центральный административный округ;Мещанский район;город Москва, улица Гиляровского, дом 17
Центральный административный округ;Мещанский район;город Москва, улица Гиляровского, дом 60, строение 1
Восточный административный округ;район Богородское;город Москва, Глебовская улица, дом 10
Центральный административный округ;Тверской район;город Москва, Большой Гнездниковский переулок, дом 10
Центральный административный округ;Тверской район;город Москва, Малый Гнездниковский переулок, дом 9, строение 7
Центральный административный округ;Тверской район;город Москва, Малый Гнездниковский переулок, дом 9, строение 7
